Experiment,Topic,ID,Question,Response,CorrectAnswer,label
1,Physics,104,How thin can a fiber optic be?,a strand of hair,As thin as a human hair,1
1,Physics,126,How thin can a fiber optic be?,Really thin and small ,As thin as a human hair,-1
1,Physics,130,How thin can a fiber optic be?,as thin as a human hair,As thin as a human hair,1
1,Physics,131,How thin can a fiber optic be?,Very thin smaller than a pice of hair ,As thin as a human hair,1
1,Physics,156,How thin can a fiber optic be?,Less than the width of a human hair,As thin as a human hair,1
1,Physics,161,How thin can a fiber optic be?,as thin as a piece of human hair ,As thin as a human hair,1
1,Physics,170,How thin can a fiber optic be?,Very very thin like hair,As thin as a human hair,1
1,Physics,184,How thin can a fiber optic be?,as thin as a human hair,As thin as a human hair,1
1,Physics,185,How thin can a fiber optic be?,as thin as a strand of hair,As thin as a human hair,1
1,Physics,192,How thin can a fiber optic be?,as thin as a piece of hair,As thin as a human hair,1
1,Physics,201,How thin can a fiber optic be?,As thin as a hair,As thin as a human hair,1
1,Physics,206,How thin can a fiber optic be?,really thin,As thin as a human hair,-1
1,Physics,220,How thin can a fiber optic be?,it can be thin as a hair,As thin as a human hair,1
1,Physics,234,How thin can a fiber optic be?,"very thin, thinner than a human hair",As thin as a human hair,1
1,Physics,243,How thin can a fiber optic be?,really thin,As thin as a human hair,-1
1,Physics,250,How thin can a fiber optic be?,1mm,As thin as a human hair,-1
1,Physics,261,How thin can a fiber optic be?,as thin as a strand of hair,As thin as a human hair,1
1,Physics,268,How thin can a fiber optic be?,As thin as a human hair,As thin as a human hair,1
1,Physics,279,How thin can a fiber optic be?,"really thin, like REALLY thin",As thin as a human hair,-1
1,Physics,288,How thin can a fiber optic be?,millimeter,As thin as a human hair,-1
1,Physics,292,How thin can a fiber optic be?,"very thin, micro",As thin as a human hair,-1
1,Physics,295,How thin can a fiber optic be?,0,As thin as a human hair,-1
1,Physics,305,How thin can a fiber optic be?,as thin as you want,As thin as a human hair,-1
1,Physics,316,How thin can a fiber optic be?,very thin,As thin as a human hair,-1
1,Physics,317,How thin can a fiber optic be?,Fiber optic can be as thin as a hair because it only needs to be as big as a laser.,As thin as a human hair,1
1,Physics,329,How thin can a fiber optic be?,n/a ,As thin as a human hair,-1
1,Physics,336,How thin can a fiber optic be?,thinner than human hair,As thin as a human hair,1
1,Physics,353,How thin can a fiber optic be?,Piece of string,As thin as a human hair,-1
1,Physics,357,How thin can a fiber optic be?,hair width,As thin as a human hair,1
1,Physics,371,How thin can a fiber optic be?,Hu,As thin as a human hair,-1
1,Physics,375,How thin can a fiber optic be?,As thin as a hair strand,As thin as a human hair,1
